,Requirement
0,system shall refresh display every 60 seconds
1,application shall match color schema set forth Department Homeland Security
2,projected data must readable 10x10 projection screen 90 viewers must able read Event Activity data viewing distance 30
3,product shall available normal business hours long user access client PC system available 99 time first six months operation
4,projected data must understandable 10x10 projection screen 90 viewers must able determine Events Activities occuring current time viewing distance 100
5,product shall ensure accessed authorized users product able distinguish authorized unauthorized users access attempts
6,product shall intuitive self-explanatory
7,product shall respond fast keep up-to-date data display
8,system shall MDI form allows viewing graph data table
9,system shall display Events vertical table time
10,system shall display Events graph time
11,business rules specified Disputes System shall compliance guidelines Regulation E Regulation Z
12,Disputes application must maintain detailed history every action user takes dispute case ensures complete audit trail questions arise later regard particular dispute case
13,actions modify existing dispute case must recorded case history
14,Disputes System must accessible internal external users
15,Disputes System must prevent users accessing dispute cases belong cardholder base
16,Disputes System facilitate direct data entry dispute case via user interface supports real time responses users
17,Disputes System must provide different levels access regard disputes case initiation follow-up actions
18,Disputes System shall provide view access capability authorized users application
19,Disputes System shall provide update access capability authorized users application
20,Disputes System must allow users select disputable transactions based age transaction user interface initiate dispute ticket retrieval request chargeback notification selected transaction
21,Disputes System must provide user ability initiate single dispute case multiple transactions belong single merchant
22,Disputes System provide user ability create initiate ticket retrieval request part ticket retrieval creation process system must prompt user enter required information create ticket retrieval request ticket retrieval request document sent merchant inquiring validity transaction
23,Disputes System must allow user create three unique types ticket retrieval requests three types ticket retrieval requests 1 Request original receipt 2 Request copy receipt 3 Request portfolio portfolio consists documentation would provide proof purchase documentation received car rental agency sales receipt
24,Disputes System must prevent external users requesting original receipts Requests original receipts restricted internal users
25,Disputes System must provide confirmation user upon creation ticket retrieval request contains following information dispute case number type retrieval requested copy original portfolio date merchant response due
26,Disputes System shall allow user create initiate chargeback request system must prompt user enter required information initiate chargeback request chargeback request results printed chargeback notification sent merchant indicating account charged back proof provided disputed transaction valid
27,Disputes System must provide confirmation user upon creation chargeback request confirmation must contain following information dispute case number type chargeback requested pending immediate date merchant response due
28,Disputes System shall prevent creation duplicate dispute requests 100 time
29,Disputes System shall accurately provide list possible reason codes given transaction list possible reason codes must derived based type transaction industry merchant belongs according business rules defined Disputes System
30,Disputes System must provide ability view existing dispute cases
31,Disputes System must provide Search functionality search method must include ability search 1 dispute case number 2 merchant account number 3 cardmember account number 4 issuer number addition criteria search functionality must allow user limit results search date range type dispute ticket retrieval request chargeback notification case status open closed dispute reason code
32,list disputes cases meet entered search criteria must provided user list cases must differentiate type and/or status case color -coding line item list example open cases yellow closed cases gray
33,Disputes System shall provide users ability view history activities occurred dispute case
34,Dispute System shall provide users ability follow dispute case via follow-up actions list available follow actions given dispute case must filtered status case access level user
35,Disputes System shall record name user date activity creates modifies disputes case system detailed history actions taken case including date user performed action must maintained auditing purposes
36,systematic non-user initiated action occurs case disputes aging process case activity generated Upon next logon user initiated dispute case must notified systematic action occurred dispute case
37,letter requests must formatted according guidelines specified Print Letter Utility system
38,disputes cases closed 6 months must purged online disputes database
39,product must support Internet Explorer 5.5
40,product must support Mozilla Firefox 1.0
41,product shall interface Choice Parts System provides feed recycled parts data
42,product shall run existing hardware environments
43,product shall adhere corporate Architecture guidelines
44,product shall comply corporate User Interface Guidelines
45,product shall comply corporate color scheme
46,appearance product shall appear professional
47,software product expected run Windows Linux platforms
48,product shall easy use Adjusters Collision Estimators 95 Adjusters Collision Estimators shall find product easy use
49,product shall increase productivity Collision Estimators 80 Collision Estimators shall agree productivity increase within 1 month using product
50,Users shall feel satisfied using product 85 users satisfied product
51,product shall easy learn Adjusters Collision Estimators product shall learned two days onsite training
52,user shall easily locate instructions using product User help found within 90 system
53,search recycled parts shall take longer 15 seconds search results shall returned 15 seconds
54,search preferred repair facility shall take longer 8 seconds preferred repair facility returned within 8 seconds
55,recycled parts audit report shall returned user within 10 seconds audit report shall returned within 10 seconds
56,preferred repair facility ratings shall saved within 5 seconds save shall occur within 5 seconds
57,product shall adhere corporate online availability schedule application brought within 98 scheduled outages per availability schedule
58,product shall achieve 98 uptime product shall fail 2 available online time
59,product shall able handle 1500 simultaneous users system shall perform 1500 users time
60,average number recycled parts records per day shall 50 000
61,product shall able handle 10 000 concurrent users within 2 years initial launch
62,estimators product shall able operated repair facility dirty noisy conditions
63,product shall interface ChoiceParts system per day approximately 1
64,maintenance product fall within established corporate maintenance windows
65,product shall supported using corporate support center
66,Product installations upgrades shall handled middleware technology team within established launch time frames
67,adjusters request recycled parts audit reports users without adjuster role shall request recycled parts audits
68,adjusters supervisor role update preferred repair facility ratings Users without supervisor role access repair facility ratings
69,collision estimators shall search recycled parts Users without collision estimator role shall access search recycled parts
70,valid data shall entered system invalid data shall entered system
71,One insurance company shall able view another insurance companys claim data
72,product shall free computer viruses
73,system shall prevent malicious attacks including denial service
74,product must comply Sarbanes-Oxley
75,product shall comply estimatics laws relating recycled parts usage
76,product shall comply insurance regulations regarding claims processing
77,user shall search preferred repair facility using vehicle vehicle location radius miles
78,vehicle data shall include vehicle year make model
79,vehicle location shall include street address city state zipcode
80,system shall resolve zipcode street address city state zipcode unknown
81,search radius shall 1 30 miles
82,system shall locate preferred repair facility highest ratings input criteria
83,adjuster shall enter preferred repair facility estimate assignment
84,adjuster shall able override preferred repair facitlity estimate assignment
85,preferred repair facility shall returned user
86,system shall return list repair facilities within radius preferred repair facility determined
87,estimator shall search available recycled parts using damaged vehicle parts information
88,estimator shall search available recycled parts using list preferred parts suppliers
89,system shall search available recycled parts supplied vehicle parts suppliers
90,estimator shall search zipcode radius 30 miles parts found preferred parts suppliers
91,system shall retain available recycled parts suppliers returned search
92,available recycled parts information suppliers shall returned user
93,estimator shall apply selected recycled parts collision estimate
94,estimator shall apply recycled parts collision estimate available parts returned
95,adjuster shall review collision estimate
96,adjuster shall request recycled parts audit collision estimate
97,recycled parts search results provided estimator shall retrieved system
98,system shall generate audit report based available recycled parts collision estimate
99,audit report shall include total number recycled parts used estimate
100,audit report shall include number available recycled parts original search results
101,audit report shall include percentage available recycled parts used estimate
102,audit report shall include total score audit sums indivual line items
103,audit report shall displayed user
104,audit report shall available adjusters later points time
105,user shall select view preferred repair facility ratings
106,current repair facility ratings shall displayed user
107,system display blank set ratings ratings yet defined
108,user shall enter new ratings based audit report
109,ratings shall scale 1-10
110,ratings shall include categories attempted use recycled parts actual use recycled parts
111,user shall select save preferred repair facility ratings
112,preferred repair facility ratings shall saved system
